Title,Year,Make,Model,URL,Transmission,Mileage,Price
Perodua Myvi 1.3 EZi SPORT RIM 1 OWNER ACC FREE TIP TOP,2011,Perodua,Myvi,https://www.carlist.my/used-cars/perodua-myvi-1-3-ezi-sport-rim-1-owner-acc-free-tip-top/3636874,Automatic,67500,"RM 19,900"
Perodua Myvi 1.3 SX (M) 1 CAREFUL OWNER LIKE NEW,2014,Perodua,Myvi,https://www.carlist.my/used-cars/perodua-myvi-1-3-sx-m-1-careful-owner-like-new/3311509,Manual,52500,"RM 27,900"
2011 Perodua Myvi 1.3 EZ (A) Hatchback,2011,Perodua,Myvi,https://www.carlist.my/used-cars/2011-perodua-myvi-1-3-ez-a-hatchback/3915940,Automatic,97500,"RM 23,500"
CAN FULL LOAN 2009 Perodua Myvi 1.3 SE AUTO TIP TOP CONDITION,2009,Perodua,Myvi,https://www.carlist.my/used-cars/can-full-loan-2009-perodua-myvi-1-3-se-auto-tip-top-condition/4188516,Automatic,67500,"RM 24,800"
CAN FULL LOAN 2009 Perodua Myvi 1.3 EZi AUTO TIP TOP CONDITION,2009,Perodua,Myvi,https://www.carlist.my/used-cars/can-full-loan-2009-perodua-myvi-1-3-ezi-auto-tip-top-condition/4188477,Automatic,67500,"RM 20,800"
LOOK LIKE NEW 2016 Perodua Myvi 1.3 G Hatchback,2016,Perodua,Myvi,https://www.carlist.my/used-cars/look-like-new-2016-perodua-myvi-1-3-g-hatchback/4073653,Automatic,22500,"RM 34,800"
PERODUA WANRANTTY 2016 Perodua Myvi 1.3 G Hatchback,2016,Perodua,Myvi,https://www.carlist.my/used-cars/perodua-wanrantty-2016-perodua-myvi-1-3-g-hatchback/4064452,Automatic,37500,"RM 34,000"
2015 Perodua Myvi 1.3 G Auto,2015,Perodua,Myvi,https://www.carlist.my/used-cars/2015-perodua-myvi-1-3-g-auto/4188206,Automatic,142500,"RM 30,000"
2012 Perodua Myvi 1.5 SE,2012,Perodua,Myvi,https://www.carlist.my/used-cars/2012-perodua-myvi-1-5-se/4145470,Automatic,67500,"RM 30,000"
2010 Perodua Myvi 1.3 EZI ORIGINAL FULL SPEC- GUARANTEE EZI SPEC- FULL LOAN AVAILABLE,2010,Perodua,Myvi,https://www.carlist.my/used-cars/2010-perodua-myvi-1-3-ezi-original-full-spec-guarantee-ezi-spec-full-loan-available/4147137,Automatic,72500,"RM 21,800"
2012 Perodua Myvi 1.3 EZi (A) welcome for loan 9 years duration free service free warranty,2012,Perodua,Myvi,https://www.carlist.my/used-cars/2012-perodua-myvi-1-3-ezi-a-welcome-for-loan-9-years-duration-free-service-free-warranty/4081073,Automatic,42500,"RM 27,000"
2013 Perodua Myvi 1.5 SE Hatchback,2013,Perodua,Myvi,https://www.carlist.my/used-cars/2013-perodua-myvi-1-5-se-hatchback/4177260,Automatic,82500,"RM 31,900"
2007 Perodua Myvi 1.3 SXi Hatchback,2007,Perodua,Myvi,https://www.carlist.my/used-cars/2007-perodua-myvi-1-3-sxi-hatchback/3915650,Manual,97500,"RM 14,900"
2010 Perodua Myvi 1.3 (M) BLACKLIST ACCEPTABLE ONE OWNER ONLY ORIGINAL PAINT WORK ACCIDENT FREE,2010,Perodua,Myvi,https://www.carlist.my/used-cars/2010-perodua-myvi-1-3-m-blacklist-acceptable-one-owner-only-original-paint-work-accident-free/3956218,Manual,57500,"RM 16,800"
"2012 PERODUA MYVI 1.5 SE $$ FULL LOAN, FREE WARRANTY ** EXTRA YEAR END DISCOUNT ** NO FAKE YEAR ** CHEAPEST IN TOWN **",2012,Perodua,Myvi,https://www.carlist.my/used-cars/2012-perodua-myvi-1-5-se-full-loan-free-warranty-extra-year-end-discount-no-fake-year-cheapest-in-town/3898125,Automatic,157500,
(Ori 2OO8)(SAVE RM5K) (Convert SE) (81K Km Low Mile) (Accident Free) (YEAR END OFFER) (PRICE CAN NEGO) (CALL NOW EXTRA REBATE) Perodua Myvi 1.3 EZi,2008,Perodua,Myvi,https://www.carlist.my/used-cars/ori-2oo8-save-rm5k-convert-se-81k-km-low-mile-accident-free-year-end-offer-price-can-nego-call-now-extra-rebate-perodua-myvi-1-3-ezi/4144105,Automatic,82500,
2008 Perodua Myvi 1.3 EZi Hatchback,2008,Perodua,Myvi,https://www.carlist.my/used-cars/2008-perodua-myvi-1-3-ezi-hatchback/4161442,Automatic,70000,"RM 15,999"
2009 Perodua Myvi 1.3 EZi Hatchback,2009,Perodua,Myvi,https://www.carlist.my/used-cars/2009-perodua-myvi-1-3-ezi-hatchback/3902184,Automatic,87500,"RM 19,500"
2014 Perodua Myvi 1.3 SE Hatchback,2014,Perodua,Myvi,https://www.carlist.my/used-cars/2014-perodua-myvi-1-3-se-hatchback/4152551,Automatic,42500,"RM 33,800"
2017 Perodua Myvi 1.5 SE Hatchback,2017,Perodua,Myvi,https://www.carlist.my/used-cars/2017-perodua-myvi-1-5-se-hatchback/3945803,Automatic,2500,"RM 55,161"
2014 Perodua Myvi 1.5 SE TIPTOP CONDITION,2014,Perodua,Myvi,https://www.carlist.my/used-cars/2014-perodua-myvi-1-5-se-tiptop-condition/4019404,Automatic,52500,
2015 Perodua Myvi 1.3 G (A) --  EASY SELL --Get Free Tinted Film worth RM500 by Raytech. Promotion only valid from 14 August 2017 - 13 November 2017. T&C apply,2015,Perodua,Myvi,https://www.carlist.my/used-cars/2015-perodua-myvi-1-3-g-a-easy-sell-get-free-tinted-film-worth-rm500-by-raytech-promotion-only-valid-from-14-august-2017-13-november-2017-t-c-apply/3771112,Automatic,25671,
(ORIGINAL MILEAGE)(UNDER WARRANTY),2009,Perodua,Myvi,https://www.carlist.my/used-cars/original-mileage-under-warranty/4018273,Automatic,97500,"RM 18,800"
2009 Perodua Myvi 1.3 EZi Hatchback,2009,Perodua,Myvi,https://www.carlist.my/used-cars/2009-perodua-myvi-1-3-ezi-hatchback/3999455,Automatic,97500,"RM 20,800"
Perodua Myvi 1.3(AT) SE Model (No Gst),2011,Perodua,Myvi,https://www.carlist.my/used-cars/perodua-myvi-1-3-at-se-model-no-gst/4182027,Automatic,52500,"RM 26,800"
Perodua Myvi 1.3(A) SE One Owner (No Gst),2014,Perodua,Myvi,https://www.carlist.my/used-cars/perodua-myvi-1-3-a-se-one-owner-no-gst/4180356,Automatic,32500,"RM 34,800"
2007 Perodua Myvi 1.3 SX Hatchback,2007,Perodua,Myvi,https://www.carlist.my/used-cars/2007-perodua-myvi-1-3-sx-hatchback/3945590,Manual,177500,"RM 14,000"
2015 Perodua Myvi 1.3 G (A) -- EASY SELL --,2015,Perodua,Myvi,https://www.carlist.my/used-cars/2015-perodua-myvi-1-3-g-a-easy-sell/3832524,Automatic,75183,
2012 Perodua Myvi 1.5 SE (M),2012,Perodua,Myvi,https://www.carlist.my/used-cars/2012-perodua-myvi-1-5-se-m/3935525,Manual,57500,"RM 32,000"
2013 Perodua MyVi 1.5 (A) FULL LOAN 1 OWNER,2013,Perodua,Myvi,https://www.carlist.my/used-cars/2013-perodua-myvi-1-5-a-full-loan-1-owner/4091006,Automatic,52500,"RM 30,800"
2017 Perodua Myvi 1.5 SE (A) -- HIGHEST DISCOUNT + FREE GIFTS + free premium tint --,2017,Perodua,Myvi,https://www.carlist.my/new-cars/2017-perodua-myvi-1-5-se-a-highest-discount-free-gifts-free-premium-tint/4041946,Automatic,1,"RM 45,256"
2017 Perodua Myvi 1.5 Advance (A) -- HIGHEST DISCOUNT + FREE GIFTS + FREE PREMIUM TINT --,2017,Perodua,Myvi,https://www.carlist.my/new-cars/2017-perodua-myvi-1-5-advance-a-highest-discount-free-gifts-free-premium-tint/4042029,Automatic,1,"RM 52,178"
2014 Perodua MyVi 1.5 SE (A) NEW CAR CONDITION,2014,Perodua,Myvi,https://www.carlist.my/used-cars/2014-perodua-myvi-1-5-se-a-new-car-condition/4053980,Automatic,32500,"RM 34,800"
2015 Perodua MyVi 1.3 SE (A) LOW MILEAGE 1 OWNER,2014,Perodua,Myvi,https://www.carlist.my/used-cars/2015-perodua-myvi-1-3-se-a-low-mileage-1-owner/4008144,Automatic,42500,"RM 30,800"
2008 Perodua MyVi 1.3 (M) TIP-TOP CONDITION,2008,Perodua,Myvi,https://www.carlist.my/used-cars/2008-perodua-myvi-1-3-m-tip-top-condition/3903021,Manual,82500,"RM 12,800"
2008 Perodua MyVi 1.3 (M) DVD PLAYER TIP TOP,2008,Perodua,Myvi,https://www.carlist.my/used-cars/2008-perodua-myvi-1-3-m-dvd-player-tip-top/3757083,Manual,82500,"RM 11,800"
2009 Perodua MyVi 1.3 (A) EZI PROJECTED LAMP,2009,Perodua,Myvi,https://www.carlist.my/used-cars/2009-perodua-myvi-1-3-a-ezi-projected-lamp/3757050,Automatic,82500,"RM 16,800"
2017 Perodua Myvi 1.5 SE (A) -- HIGHEST DISCOUNT + FREE GIFTS + free premium tint --,2017,Perodua,Myvi,https://www.carlist.my/new-cars/2017-perodua-myvi-1-5-se-a-highest-discount-free-gifts-free-premium-tint/4023439,Automatic,1,"RM 45,256"
Perodua Myvi 1.3 SE (A) #GENUINE YEAR MAKE #FULL LOAN,2009,Perodua,Myvi,https://www.carlist.my/used-cars/perodua-myvi-1-3-se-a-genuine-year-make-full-loan/3598902,Automatic,62500,"RM 21,800"
2012 Perodua Myvi 1.5 SE Hatchback (A) ---EASY SELL--- Free Raytech Tinted Film,2012,Perodua,Myvi,https://www.carlist.my/used-cars/2012-perodua-myvi-1-5-se-hatchback-a-easy-sell-free-raytech-tinted-film/3068997,Automatic,52330,
2014 Perodua MyVi 1.3 (M) SXI FULL DVD TOUCH SCREEN,2014,Perodua,Myvi,https://www.carlist.my/used-cars/2014-perodua-myvi-1-3-m-sxi-full-dvd-touch-screen/4073861,Manual,52500,"RM 21,300"
2014 Perodua Myvi 1.5 SE (A),2014,Perodua,Myvi,https://www.carlist.my/used-cars/2014-perodua-myvi-1-5-se-a/4187926,Automatic,67500,"RM 37,800"
Perodua Myvi 1.3 AT EZi High Spec,2009,Perodua,Myvi,https://www.carlist.my/used-cars/perodua-myvi-1-3-at-ezi-high-spec/4155431,Automatic,87500,"RM 17,880"
2006 Perodua Myvi 1.3 SX Hatchback (M),2006,Perodua,Myvi,https://www.carlist.my/used-cars/2006-perodua-myvi-1-3-sx-hatchback-m/4126961,Manual,142500,"RM 19,500"
2009 Perodua Myvi 1.3 EZi Hatchback (A),2009,Perodua,Myvi,https://www.carlist.my/used-cars/2009-perodua-myvi-1-3-ezi-hatchback-a/4082461,Automatic,132500,"RM 21,500"
2010 Perodua Myvi 1.3 EZi LADY OWNER,2010,Perodua,Myvi,https://www.carlist.my/used-cars/2010-perodua-myvi-1-3-ezi-lady-owner/4025715,Automatic,112500,"RM 24,000"
2015 Perodua Myvi 1.3 X (A) ---EASY SELL--- Free Raytech Tinted Film,2015,Perodua,Myvi,https://www.carlist.my/used-cars/2015-perodua-myvi-1-3-x-a-easy-sell-free-raytech-tinted-film/3102453,Automatic,17958,
(SAVE9K)(DEEPABVALI SALES)(LOW MIELEAGE)(TIP TOP CONDITION)(CLEAN AND TIDY)(CALL NOW GET UR BEST PRICE),2012,Perodua,Myvi,https://www.carlist.my/used-cars/save9k-deepabvali-sales-low-mieleage-tip-top-condition-clean-and-tidy-call-now-get-ur-best-price/4187628,Manual,47500,"RM 21,888"
(SAVE3K)(DEEPAVALI SALES)(TRUE YEARS MAKE)(LOW MILEAGE)(1 CAREFUL OWNER)(CALL NOW GET UR BEST PRICE),2012,Perodua,Myvi,https://www.carlist.my/used-cars/save3k-deepavali-sales-true-years-make-low-mileage-1-careful-owner-call-now-get-ur-best-price/4145048,Automatic,57500,"RM 27,888"
2010 Perodua Myvi 1.3 SE (A) ORIGINAL SPECIAL EDITION WITH FULL BODYKIT FULL LEATHER SEAT WELL MAINTAIN,2010,Perodua,Myvi,https://www.carlist.my/used-cars/2010-perodua-myvi-1-3-se-a-original-special-edition-with-full-bodykit-full-leather-seat-well-maintain/4147970,Manual,67500,"RM 24,800"
2010 Perodua Myvi 1.3 SE (A) ORIGINAL SPECIAL EDITION WITH FULL BODYKIT FULL LEATHER SEAT WELL MAINTAIN,2010,Perodua,Myvi,https://www.carlist.my/used-cars/2010-perodua-myvi-1-3-se-a-original-special-edition-with-full-bodykit-full-leather-seat-well-maintain/4032526,Automatic,87500,"RM 24,800"
"2015 Perodua Myvi 1.5 Advance (A) ONE OWNER ,LEATHER SEAT",2015,Perodua,Myvi,https://www.carlist.my/used-cars/2015-perodua-myvi-1-5-advance-a-one-owner-leather-seat/3874945,Automatic,47291,"RM 37,800"
2014 Perodua Myvi 1.5 SE (A) 1 OWNER GURANTEE  ACCIDENT FREE,2014,Perodua,Myvi,https://www.carlist.my/used-cars/2014-perodua-myvi-1-5-se-a-1-owner-gurantee-accident-free/3524571,Automatic,73439,"RM 32,800"
2009 Perodua Myvi 1.3 EZi Hatchback Tip Top Condition,2009,Perodua,Myvi,https://www.carlist.my/used-cars/2009-perodua-myvi-1-3-ezi-hatchback-tip-top-condition/3806216,Automatic,90000,"RM 18,500"
2012 Perodua Myvi 1.5 SE (A) ONE OWNER,2012,Perodua,Myvi,https://www.carlist.my/used-cars/2012-perodua-myvi-1-5-se-a-one-owner/4064709,Automatic,62500,"RM 30,800"
(Actual Yr 2OO9)(1Owner) (Low Mileage) (Nice No.1337) (Clean Interior) (Accident Free) (CALL NOW FOR BEST PRICE) Perodua Myvi 1.3 EZi AUTO,2009,Perodua,Myvi,https://www.carlist.my/used-cars/actual-yr-2oo9-1owner-low-mileage-nice-no-1337-clean-interior-accident-free-call-now-for-best-price-perodua-myvi-1-3-ezi-auto/4164428,Automatic,72500,"RM 20,800"
2008 Perodua Myvi 1.3 SE Hatchback,2008,Perodua,Myvi,https://www.carlist.my/used-cars/2008-perodua-myvi-1-3-se-hatchback/4178768,Automatic,132500,"RM 21,600"
2015 Perodua Myvi 1.5 SE Hatchback,2015,Perodua,Myvi,https://www.carlist.my/used-cars/2015-perodua-myvi-1-5-se-hatchback/4126710,Automatic,12500,"RM 35,000"
2006 Perodua Myvi 1.3 SXi Hatchback (M),2006,Perodua,Myvi,https://www.carlist.my/used-cars/2006-perodua-myvi-1-3-sxi-hatchback-m/4126666,Manual,162500,"RM 14,500"
2006 Perodua Myvi 1.3 EZi Hatchback,2006,Perodua,Myvi,https://www.carlist.my/used-cars/2006-perodua-myvi-1-3-ezi-hatchback/4104811,Automatic,147500,"RM 16,000"
2012 Perodua MyVi 1.3 EZI SE ONE CAREFUL OWNER LIKE NEW CONDITION,2012,Perodua,Myvi,https://www.carlist.my/used-cars/2012-perodua-myvi-1-3-ezi-se-one-careful-owner-like-new-condition/4102352,Automatic,42500,"RM 26,800"
2011 Perodua MyVi 1.3 EZI (A) DUAL AIRBAG ONE LADY OWNER,2011,Perodua,Myvi,https://www.carlist.my/used-cars/2011-perodua-myvi-1-3-ezi-a-dual-airbag-one-lady-owner/4074666,Automatic,57500,"RM 20,800"
MYVI 1.3 EZ Auto model 2010 urgent sale,2010,Perodua,Myvi,https://www.carlist.my/used-cars/myvi-1-3-ez-auto-model-2010-urgent-sale/4161283,Automatic,122500,"RM 21,000"
"2010 Perodua Myvi 1.3 (A) SE-SPEC,FULL LEATHER SEAT,TWIN AIRBAG,FREE INSURANCE,INSTALLMENT",2010,Perodua,Myvi,https://www.carlist.my/used-cars/2010-perodua-myvi-1-3-a-se-spec-full-leather-seat-twin-airbag-free-insurance-installment/4093821,Automatic,72500,"RM 25,800"
"2014 Perodua Myvi 1.3 (A) SE FULL SPEC,TIPTOP CONDITION,MUST VIEW",2014,Perodua,Myvi,https://www.carlist.my/used-cars/2014-perodua-myvi-1-3-a-se-full-spec-tiptop-condition-must-view/4030406,Automatic,47500,"RM 33,800"
"2010 Perodua Myvi 1.3 (A) EZi,TWIN AIR BAG,CAREFUL OWNER",2010,Perodua,Myvi,https://www.carlist.my/used-cars/2010-perodua-myvi-1-3-a-ezi-twin-air-bag-careful-owner/3751743,Automatic,72500,"RM 22,800"
2014 Perodua Myvi 1.5 SE Hatchback,2014,Perodua,Myvi,https://www.carlist.my/used-cars/2014-perodua-myvi-1-5-se-hatchback/2827771,Automatic,27500,"RM 40,800"
2008 Perodua Myvi 1.3 SX Hatchback,2008,Perodua,Myvi,https://www.carlist.my/used-cars/2008-perodua-myvi-1-3-sx-hatchback/3971331,Manual,277500,"RM 15,000"
PERODUA MYVI 1.5A SE WITH BODY KIT OTR PRICE RM45400 ONLY MAKE 2017YR,2016,Perodua,Myvi,https://www.carlist.my/new-cars/perodua-myvi-1-5a-se-with-body-kit-otr-price-rm45400-only-make-2017yr/2667063,Automatic,1,"RM 45,400"
2008 Perodua Myvi 1.3 SX Hatchback,2008,Perodua,Myvi,https://www.carlist.my/used-cars/2008-perodua-myvi-1-3-sx-hatchback/4126499,Manual,202500,"RM 11,000"
2009 Perodua Myvi 1.3 (M) PASSO JAPAN OFFER MUKA0,2009,Perodua,Myvi,https://www.carlist.my/used-cars/2009-perodua-myvi-1-3-m-passo-japan-offer-muka0/4120436,Manual,82500,"RM 15,888"
2014 Perodua Myvi 1.3 (M) BODYKIT SPORT RIM MK0,2014,Perodua,Myvi,https://www.carlist.my/used-cars/2014-perodua-myvi-1-3-m-bodykit-sport-rim-mk0/4094161,Manual,32500,"RM 28,999"
2007 Perodua Myvi 1.3 SE Hatchback ONE LADY OWNER,2007,Perodua,Myvi,https://www.carlist.my/used-cars/2007-perodua-myvi-1-3-se-hatchback-one-lady-owner/4138875,Manual,92500,"RM 16,800"
2012 Perodua Myvi 1.5 SE Hatchback FULL SERVICE RECORD,2012,Perodua,Myvi,https://www.carlist.my/used-cars/2012-perodua-myvi-1-5-se-hatchback-full-service-record/3918589,Automatic,57500,"RM 32,800"
2011 Perodua Myvi 1.5 SE Facelift DVD TipTOP LikeNEW,2011,Perodua,Myvi,https://www.carlist.my/used-cars/2011-perodua-myvi-1-5-se-facelift-dvd-tiptop-likenew/4143014,Automatic,52500,"RM 29,800"
Perodua Myvi 1.3 SXi (M) 2012 1 Lady Owner Only TipTop Condition View to Confirm,2012,Perodua,Myvi,https://www.carlist.my/used-cars/perodua-myvi-1-3-sxi-m-2012-1-lady-owner-only-tiptop-condition-view-to-confirm/3989306,Manual,47500,"RM 22,800"
"*FEW MTHS OLD,7K KM,ADVANCED SPEC,BACK CAMERA,ACCIDENT FREE,NEW MICHELIN TYRES,NEW CAR CONDITION**2016 Perodua Myvi 1.5 Advance Hatchback",2016,Perodua,Myvi,https://www.carlist.my/used-cars/few-mths-old-7k-km-advanced-spec-back-camera-accident-free-new-michelin-tyres-new-car-condition-2016-perodua-myvi-1-5-advance-hatchback/4175608,Automatic,7500,"RM 43,800"
2014 Perodua Myvi 1.3 SE(A) NICE CAR,2014,Perodua,Myvi,https://www.carlist.my/used-cars/2014-perodua-myvi-1-3-se-a-nice-car/3960719,Automatic,67658,"RM 30,800"
2013 Perodua Myvi 1.3 EZi Hatchback,2013,Perodua,Myvi,https://www.carlist.my/used-cars/2013-perodua-myvi-1-3-ezi-hatchback/4066742,Automatic,42500,"RM 29,800"
2008 Perodua Myvi 1.3 EZ Hatchback,2008,Perodua,Myvi,https://www.carlist.my/used-cars/2008-perodua-myvi-1-3-ez-hatchback/3944939,Automatic,152500,"RM 17,000"
2013 Perodua Myvi 1.5 SE Hatchback,2013,Perodua,Myvi,https://www.carlist.my/used-cars/2013-perodua-myvi-1-5-se-hatchback/3944700,Automatic,77500,"RM 33,800"
2009 Perodua MyVi 1.3 SE (A) Special Edition,2009,Perodua,Myvi,https://www.carlist.my/used-cars/2009-perodua-myvi-1-3-se-a-special-edition/4062968,Automatic,92500,"RM 21,800"
2014 Perodua MyVi 1.3 SE (A) Full Spec Facelift,2014,Perodua,Myvi,https://www.carlist.my/used-cars/2014-perodua-myvi-1-3-se-a-full-spec-facelift/4086188,Automatic,47500,"RM 29,800"
2009 Perodua Myvi 1.3 EZi 1 OWNER FULLOAN,2009,Perodua,Myvi,https://www.carlist.my/used-cars/2009-perodua-myvi-1-3-ezi-1-owner-fulloan/3880857,Automatic,72500,"RM 20,800"
2012 Perodua Myvi 1.3 Elegance Hatchback,2012,Perodua,Myvi,https://www.carlist.my/used-cars/2012-perodua-myvi-1-3-elegance-hatchback/3944370,Automatic,127500,"RM 28,800"
( SAVE RM2000 ) (CALL NOW PROMO ) - ( ORIGINAL PAINT ) - SUPER LOW MILEAGE - ( VALUE BUY )  - ( GOOD RUNNING CONDITION ) - ACCIDENT FREE ASSURED,2007,Perodua,Myvi,https://www.carlist.my/used-cars/save-rm2000-call-now-promo-original-paint-super-low-mileage-value-buy-good-running-condition-accident-free-assured/4139000,Automatic,122500,"RM 14,800"
( SAVE RM2000 ) (CALL NOW PROMO ) - ( ORIGINAL PAINT ) - SUPER LOW MILEAGE - ( VALUE BUY )  - ( GOOD RUNNING CONDITION ) - ACCIDENT FREE ASSURED,2006,Perodua,Myvi,https://www.carlist.my/used-cars/save-rm2000-call-now-promo-original-paint-super-low-mileage-value-buy-good-running-condition-accident-free-assured/4075597,Automatic,107500,"RM 14,800"
( SAVE RM2000 ) (CALL NOW PROMO ) - ( ORIGINAL PAINT ) - SUPER TIP TOP CONDITION - ( VALUE BUY )  - ( GOOD RUNNING CONDITION ) - ACCIDENT FREE ASSURED,2006,Perodua,Myvi,https://www.carlist.my/used-cars/save-rm2000-call-now-promo-original-paint-super-tip-top-condition-value-buy-good-running-condition-accident-free-assured/4002409,Automatic,117500,"RM 15,800"
2012 Perodua Myvi 1.3 EZi Hatchback,2012,Perodua,Myvi,https://www.carlist.my/used-cars/2012-perodua-myvi-1-3-ezi-hatchback/4165984,Automatic,32500,"RM 32,000"
2009 Myvi 1.3 SE (A) like NEW - Negotiable Price,2009,Perodua,Myvi,https://www.carlist.my/used-cars/2009-myvi-1-3-se-a-like-new-negotiable-price/4080838,Automatic,167500,"RM 21,000"
LIKE NEW ONLY 30K CASH 2010 Perodua Myvi 1.3 EZi Hatchback,2010,Perodua,Myvi,https://www.carlist.my/used-cars/like-new-only-30k-cash-2010-perodua-myvi-1-3-ezi-hatchback/4044842,Automatic,12500,"RM 30,000"
2005 Perodua Myvi  ---PRIVATE SELLER---,2005,Perodua,Myvi,https://www.carlist.my/used-cars/2005-perodua-myvi-private-seller/3522714,Manual,117760,"RM 11,500"
Perodua Myvi 1.3 (A) EZi Hatchback LOW MILEAGE FULL LOAN,2013,Perodua,Myvi,https://www.carlist.my/used-cars/perodua-myvi-1-3-a-ezi-hatchback-low-mileage-full-loan/4130749,Automatic,42500,"RM 23,800"
Perodua Myvi 1.3 (M) SE Hatchback LEATHER SEAT TIPTOP CONDITION,2011,Perodua,Myvi,https://www.carlist.my/used-cars/perodua-myvi-1-3-m-se-hatchback-leather-seat-tiptop-condition/4119143,Manual,57500,"RM 19,800"
Perodua Myvi 1.3 (A) EZi Hatchback TIPTOP CONDITION LOW MILEAGE,2013,Perodua,Myvi,https://www.carlist.my/used-cars/perodua-myvi-1-3-a-ezi-hatchback-tiptop-condition-low-mileage/4093331,Automatic,52500,"RM 23,800"
Perodua Myvi 1.3 (A) SE Hatchback LEATHER SEAT 1 LADY OWNER,2011,Perodua,Myvi,https://www.carlist.my/used-cars/perodua-myvi-1-3-a-se-hatchback-leather-seat-1-lady-owner/4057679,Automatic,67500,"RM 19,800"
2008 Perodua Myvi 1.3 SXi (M) Good Condition,2008,Perodua,Myvi,https://www.carlist.my/used-cars/2008-perodua-myvi-1-3-sxi-m-good-condition/4163023,Manual,67500,"RM 13,800"
2007 Perodua Myvi 1.3 EZ Hatchback,2007,Perodua,Myvi,https://www.carlist.my/used-cars/2007-perodua-myvi-1-3-ez-hatchback/4182711,Automatic,150,"RM 15,800"
2006 Perodua Myvi 1.3 EZ Hatchback (A),2006,Perodua,Myvi,https://www.carlist.my/used-cars/2006-perodua-myvi-1-3-ez-hatchback-a/3987509,Automatic,132500,"RM 16,200"
2003 Perodua Myvi 1.3 EZi,2005,Perodua,Myvi,https://www.carlist.my/used-cars/2003-perodua-myvi-1-3-ezi/3984887,Automatic,237500,"RM 22,000"
2012 Perodua Myvi 1.3 EZi Hatchback,2012,Perodua,Myvi,https://www.carlist.my/used-cars/2012-perodua-myvi-1-3-ezi-hatchback/3963050,Automatic,72500,"RM 32,000"
2009 Perodua Myvi 1.3 AUTO FULLY CONVERT JAPAN PASSO NICE ENKAI 16 INCH DVD PLAYER WITH REVERSE CAMERA,2009,Perodua,Myvi,https://www.carlist.my/used-cars/2009-perodua-myvi-1-3-auto-fully-convert-japan-passo-nice-enkai-16-inch-dvd-player-with-reverse-camera/4148435,Automatic,72500,"RM 26,888"
